Date,IDs,Longitude,Latitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Time,Road_Type,Speed_limit,Junction_Control,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Urban_or_Rural_Area
28/09/2012,570,570,570,570,570,570,570,570,570,368,570,570,570,570,569,570
28/10/2012,375,375,375,375,375,375,375,375,375,209,375,375,375,375,374,375
28/11/2012,531,531,531,531,531,531,531,531,531,348,531,531,531,531,527,531
28/12/2012,237,237,237,237,237,237,237,237,237,134,237,237,237,237,237,237
29/01/2012,317,317,317,317,317,317,317,317,317,182,317,317,317,317,316,317
29/02/2012,431,431,431,431,431,431,431,431,431,279,431,431,431,431,431,431
29/03/2012,582,582,582,582,582,582,582,582,582,389,582,582,582,582,581,582
29/04/2012,378,378,378,378,378,378,378,378,378,230,378,378,378,378,378,378
29/05/2012,548,548,548,548,548,548,548,548,548,351,548,548,548,548,548,548
29/06/2012,521,521,521,521,521,521,521,521,521,364,521,521,521,521,520,521
29/07/2012,401,401,401,401,401,401,401,401,401,219,401,401,401,401,401,401
29/08/2012,466,466,466,466,466,466,466,466,466,301,466,466,466,466,465,466
29/09/2012,531,531,531,531,531,531,531,531,531,335,531,531,531,531,531,531
29/10/2012,515,515,515,515,515,515,515,515,515,323,515,515,515,515,515,515
29/11/2012,692,692,692,692,692,692,692,692,692,391,692,692,692,692,690,692
29/12/2012,250,250,250,250,250,250,250,250,250,144,250,250,250,250,250,250
30/01/2012,534,534,534,534,534,534,534,534,534,342,534,534,534,534,531,534
30/03/2012,633,633,633,633,633,633,633,633,633,420,633,633,633,633,630,633
30/04/2012,520,520,520,520,520,520,520,520,520,347,520,520,520,520,519,520
30/05/2012,600,600,600,600,600,600,600,600,600,394,600,600,600,600,598,600
30/06/2012,479,479,479,479,479,479,479,479,479,300,479,479,479,479,478,479
30/07/2012,503,503,503,503,503,503,503,503,503,341,503,503,503,503,503,503
30/08/2012,532,532,532,532,532,532,532,532,532,323,532,532,532,532,532,532
30/09/2012,369,369,369,369,369,369,369,369,369,206,369,369,369,369,368,369
30/10/2012,478,478,478,478,478,478,478,478,478,286,478,478,478,478,478,478
30/11/2012,651,651,651,651,651,651,651,651,651,402,651,651,651,651,649,651
30/12/2012,267,267,267,267,267,267,267,267,267,156,267,267,267,267,266,267
31/01/2012,485,485,485,485,485,485,485,485,485,328,485,485,485,485,484,485
31/03/2012,371,371,371,371,371,371,371,371,371,235,371,371,371,371,371,371
31/05/2012,558,558,558,558,558,558,558,558,558,372,558,558,558,558,556,558
31/07/2012,470,470,470,470,470,470,470,470,470,282,470,470,470,470,469,470
31/08/2012,536,536,536,536,536,536,536,536,536,319,536,536,536,536,534,536
31/10/2012,581,581,581,581,581,581,581,581,581,361,581,581,581,581,581,581
31/12/2012,315,315,315,315,315,315,315,315,315,196,315,315,315,315,315,315
